step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
286,PAYMENT,5512.33,C984221834,210375.0,204862.67,M96835098,0.0,0.0,0,0
683,TRANSFER,227344.15,C2097978448,0.0,0.0,C254001262,446040.8,673384.95,0,0
120,CASH_OUT,1860190.06,C1426147702,1860190.06,0.0,C1451093652,300576.4,2160766.46,1,0
350,CASH_IN,105349.99,C532238126,7613130.21,7718480.21,C1588959620,652549.32,547199.33,0,0
354,PAYMENT,7536.67,C261470130,0.0,0.0,M1074251099,0.0,0.0,0,0
159,PAYMENT,740.15,C319417787,7618.0,6877.85,M2071009018,0.0,0.0,0,0
398,TRANSFER,50722.16,C870531652,50722.16,0.0,C1469155891,0.0,0.0,1,0
162,CASH_OUT,553546.1,C160374198,113321.0,0.0,C903206540,0.0,553546.1,0,0
41,PAYMENT,8721.55,C1434602150,305305.08,296583.53,M104573424,0.0,0.0,0,0
643,CASH_OUT,4222595.06,C4856718,4222595.06,0.0,C488060391,0.0,4222595.06,1,0
351,TRANSFER,888887.16,C348233249,0.0,0.0,C2030416267,1691575.02,2580462.19,0,0
235,PAYMENT,4023.98,C1568717984,0.0,0.0,M1906271568,0.0,0.0,0,0
300,CASH_OUT,68190.48,C1780958338,0.0,0.0,C1043595861,2281256.27,2349446.75,0,0
355,CASH_OUT,29804.63,C1552226654,0.0,0.0,C431004644,668644.92,698449.55,0,0
307,CASH_OUT,131911.28,C692764605,0.0,0.0,C313104220,11120716.51,11252627.79,0,0
351,PAYMENT,16224.13,C260324314,0.0,0.0,M1668854990,0.0,0.0,0,0
463,TRANSFER,1168274.14,C1604466708,1168274.14,0.0,C1732055737,0.0,0.0,1,0
33,CASH_OUT,456190.27,C199828765,3164.0,0.0,C1245460529,1363322.87,1819513.14,0,0
274,PAYMENT,5045.58,C1664553234,298157.26,293111.67,M1761213646,0.0,0.0,0,0
544,CASH_IN,209790.49,C1117170175,20762.0,230552.49,C1004472348,826120.71,616330.22,0,0
612,PAYMENT,4349.13,C1985230614,59974.0,55624.87,M1473542190,0.0,0.0,0,0
339,CASH_OUT,343177.04,C55629100,343177.04,0.0,C1065751095,0.0,343177.04,1,0
256,CASH_OUT,255810.72,C938868423,249764.0,0.0,C960049108,89611.87,345422.6,0,0
36,CASH_IN,228876.03,C1177620726,6763010.13,6991886.16,C876369005,509568.96,280692.93,0,0
234,CASH_OUT,331581.02,C319538826,0.0,0.0,C594572724,4159771.71,4491352.74,0,0
20,CASH_OUT,122683.32,C453897346,0.0,0.0,C1664276005,191236.39,313919.71,0,0
497,CASH_OUT,1416055.74,C2115602581,1416055.74,0.0,C1565972600,4392650.62,5808706.35,1,0
181,CASH_OUT,131050.19,C298202559,0.0,0.0,C1689071057,994888.85,1309374.64,0,0
383,CASH_IN,143882.01,C1842923279,20435197.62,20579079.64,C19231731,1064921.07,921039.06,0,0
158,PAYMENT,4963.3,C591000651,132.0,0.0,M1798237983,0.0,0.0,0,0
83,TRANSFER,594577.22,C2038871800,594577.22,0.0,C699011744,0.0,0.0,1,0
16,PAYMENT,363.12,C2094421184,740530.27,740167.15,M1762969862,0.0,0.0,0,0
250,PAYMENT,7450.56,C2103935934,63965.0,56514.44,M202933779,0.0,0.0,0,0
204,CASH_OUT,258302.55,C132712782,52329.0,0.0,C564407928,0.0,258302.55,0,0
326,CASH_IN,81710.37,C1195160343,134398.0,216108.37,C9896045,92977.17,11266.79,0,0
258,PAYMENT,6645.79,C1829606822,0.0,0.0,M610026730,0.0,0.0,0,0
154,CASH_OUT,143998.13,C1507635954,11176.0,0.0,C101037651,2290268.71,2434266.85,0,0
41,TRANSFER,581889.94,C518343264,581889.94,0.0,C596058183,0.0,0.0,1,0
278,DEBIT,4255.08,C488741547,1312.0,0.0,C1275523472,69141.52,73396.61,0,0
34,TRANSFER,172515.26,C1079987458,0.0,0.0,C682995082,2352146.64,2698009.05,0,0
156,CASH_OUT,22411.25,C1548334499,20646.0,0.0,C1688300048,70261.56,92672.81,0,0
190,CASH_OUT,265747.73,C2046465313,265747.73,0.0,C1929273714,0.0,265747.73,1,0
306,CASH_OUT,126964.53,C1135852524,27383.0,0.0,C1837146339,442074.52,569039.04,0,0
244,TRANSFER,4448598.93,C530018040,4448598.93,0.0,C1401702546,0.0,0.0,1,0
374,CASH_OUT,126792.87,C1497538996,37068.0,0.0,C1992645581,217905.77,344698.64,0,0
602,CASH_OUT,1976666.45,C286962871,1976666.45,0.0,C1066958378,0.0,1976666.45,1,0
154,TRANSFER,410003.63,C114208873,0.0,0.0,C952055384,6150896.67,6560900.3,0,0
275,PAYMENT,376.56,C695544982,0.0,0.0,M1641817650,0.0,0.0,0,0
10,CASH_OUT,59835.0,C1020461364,59835.0,0.0,C2144015041,255480.76,315315.76,1,0
85,TRANSFER,8924971.59,C406938681,8924971.59,0.0,C579440834,0.0,0.0,1,0
551,CASH_OUT,43907.29,C689467493,4570.0,0.0,C1646967877,203840.23,247747.52,0,0
18,TRANSFER,253846.98,C427895660,0.0,0.0,C576440022,1999285.44,2495902.89,0,0
18,CASH_OUT,181714.68,C1700200409,31037.0,0.0,C2003348009,0.0,65594.74,0,0
355,PAYMENT,16514.38,C528125055,0.0,0.0,M1748667491,0.0,0.0,0,0
332,PAYMENT,12155.9,C1537789158,0.0,0.0,M1770622984,0.0,0.0,0,0
94,CASH_IN,165695.32,C622769082,3590015.39,3755710.71,C1611115758,281137.88,115442.56,0,0
19,PAYMENT,12025.48,C754656244,41888.31,29862.84,M1624765958,0.0,0.0,0,0
236,CASH_OUT,126952.14,C327064354,37293.0,0.0,C1729474383,0.0,126952.14,0,0
284,PAYMENT,1531.71,C1217007,22881.0,21349.29,M1045046847,0.0,0.0,0,0
183,PAYMENT,17899.13,C1034602882,11692.0,0.0,M703455353,0.0,0.0,0,0
188,TRANSFER,389214.05,C1298821369,389214.05,0.0,C476199705,0.0,0.0,1,0
375,PAYMENT,5644.8,C1270617470,0.0,0.0,M1598280933,0.0,0.0,0,0
403,CASH_OUT,213150.79,C1999783980,0.0,0.0,C770498274,500059.69,713210.48,0,0
697,CASH_OUT,1226390.31,C1387290846,1226390.31,0.0,C2032479397,203175.25,1429565.56,1,0
39,CASH_OUT,2070814.27,C1115361466,2070814.27,0.0,C521252518,0.0,2070814.27,1,0
95,TRANSFER,1959016.03,C615337324,0.0,0.0,C2097106754,5816710.61,7775726.64,0,0
404,PAYMENT,1002.99,C1796020538,12118.0,11115.01,M1752870897,0.0,0.0,0,0
35,CASH_IN,46863.89,C830772393,850.0,47713.89,C901264886,66666.92,19803.03,0,0
544,DEBIT,3504.65,C1794835295,51218.0,47713.35,C225990496,1547770.42,1551275.07,0,0
403,CASH_OUT,102450.39,C748895238,33190.0,0.0,C1888274124,0.0,102450.39,0,0
400,PAYMENT,22368.9,C1304144484,0.0,0.0,M1727542237,0.0,0.0,0,0
372,TRANSFER,2923356.25,C1312260902,2923356.25,0.0,C1724629227,0.0,0.0,1,0
159,CASH_OUT,257546.74,C738298142,994.0,0.0,C1436879406,37535.16,295081.9,0,0
404,CASH_IN,129349.78,C1791606570,1412490.26,1541840.04,C1580003717,3218832.15,3089482.37,0,0
397,PAYMENT,6340.43,C1268913839,0.0,0.0,M134711219,0.0,0.0,0,0
46,PAYMENT,490.47,C58704060,16167.0,15676.53,M843391576,0.0,0.0,0,0
122,CASH_OUT,355832.18,C348049773,355832.18,0.0,C1765590670,92057.45,447889.63,1,0
401,CASH_OUT,2994.6,C841835519,0.0,0.0,C2004572054,207692.03,210686.63,0,0
14,PAYMENT,14822.78,C1537302814,0.0,0.0,M1920471822,0.0,0.0,0,0
