step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,nameOrig,nameDest,isFraud
207.0,305048.90488352854,0.0,0.0,0.0,0.0,DEBIT,C9088186360,M9093866369,0
14.0,69758.18911147269,27460274.70888147,1615654.774082462,0.0,0.0,DEBIT,C6923517420,M9109836024,0
423.0,10000000.0,10000000.0,0.0,0.0,0.0,CASH_OUT,C969408296,M4689287504,1
207.0,109434.94325432826,0.0,0.0,0.0,0.0,PAYMENT,C8196855057,M5879237405,0
232.0,14961.155025042495,32804207.49,32657455.327849627,0.0,0.0,CASH_OUT,C7883328848,M5336902258,0
141.0,9118.031743969274,0.0,0.0,0.0,0.0,PAYMENT,C507041684,M7210933409,0
507.0,7837038.144165586,5038144.308112952,0.0,0.0,0.0,CASH_OUT,C4214860321,M5283905481,1
39.0,24406.248155735957,0.0,0.0,0.0,0.0,DEBIT,C5138608099,M4174792859,0
134.0,191388.3598050085,124983.72563182387,0.0,18420979.897356093,127672692.49731255,PAYMENT,C393013204,M5620356063,0
551.0,219284.98442519826,352205.6019307133,0.0,0.0,0.0,TRANSFER,C2304148985,M3023005966,1
165.0,137975.4060925281,0.0,0.0,0.0,0.0,PAYMENT,C5886385390,M8170673039,0
160.0,446807.5857776861,32399204.78495079,13154737.763646904,2851952.9474127037,2165462.2615821008,DEBIT,C8055845024,M8218743583,0
303.0,3573.6997245351595,52784.2026275747,0.0,0.0,0.0,PAYMENT,C873485062,M3380592856,0
325.0,90357.32956892847,26900778.29373146,0.0,979475.3744233049,0.0,CASH_OUT,C7220519857,M981979701,0
326.0,381197.1116374959,1358672.08166896,0.0,0.0,0.0,CASH_OUT,C9374477816,M9350132789,0
591.0,155318.76562980664,58490.69973463884,97410.59759369324,5946253.837317796,0.0,PAYMENT,C761442821,M5517446592,0
622.0,241262.69006179605,126230.12528455954,0.0,0.0,0.0,TRANSFER,C5415414103,M6865891483,1
35.0,159677.44795597118,0.0,0.0,0.0,11018759.273375502,CASH_OUT,C2967958826,M4670201940,0
332.0,116911.7614355558,20075782.85433922,0.0,0.0,0.0,PAYMENT,C8178372691,M4918630155,0
208.0,38500.76377913171,0.0,0.0,161035916.3334602,9876815.051353052,DEBIT,C3915582810,M117660899,0
377.0,6584.9005244260825,0.0,0.0,0.0,0.0,CASH_OUT,C4855004173,M5549109963,0
462.0,1268645.708604378,218518.23577374703,0.0,0.0,0.0,TRANSFER,C3704013804,M2412387355,1
140.0,57929.6306896994,33945.86677671216,0.0,4408533.334697148,1611986.0084690554,DEBIT,C9414108377,M8640286298,0
330.0,39748.12421208429,0.0,0.0,0.0,0.0,CASH_OUT,C1775514860,M2812383850,0
186.0,42592.26463218428,0.0,0.0,0.0,0.0,PAYMENT,C9743749604,M7165288478,0
205.0,11545.984944689702,0.0,0.0,0.0,0.0,PAYMENT,C2723110667,M6605759434,0
311.0,10000000.0,19265870.076612167,0.0,0.0,0.0,TRANSFER,C4206820825,M8296883826,1
42.0,153379.8034065375,40076.931949019396,0.0,0.0,0.0,CASH_OUT,C1557335314,M7493619698,0
279.0,118864.3553302673,0.0,0.0,0.0,2579414.510545055,PAYMENT,C7481113879,M2972782019,0
282.0,13936.445850687556,316494.1453416095,0.0,0.0,0.0,PAYMENT,C4571485661,M9116574222,0
153.0,202526.13125570308,2475247.7001443733,0.0,0.0,0.0,CASH_OUT,C5444018522,M4743014531,1
349.0,235206.1426212665,0.0,0.0,0.0,0.0,CASH_OUT,C4740223785,M8187040102,0
374.0,358022.3676363043,0.0,0.0,0.0,0.0,DEBIT,C9726781740,M9925363962,0
36.0,6218.266261603855,0.0,0.0,0.0,0.0,PAYMENT,C998075564,M7948984682,0
16.0,294770.88965881494,0.0,0.0,0.0,0.0,DEBIT,C3503138278,M6313194690,0
255.0,6389.795878492752,0.0,0.0,0.0,0.0,CASH_OUT,C4905453820,M7639741982,0
12.0,258021.7775839593,0.0,0.0,0.0,445494.47683668986,CASH_OUT,C1485266763,M3093730033,0
741.0,3078.1109353509396,5312.889802235758,0.0,0.0,0.0,TRANSFER,C650919394,M7832763869,1
388.0,59408.95640772341,0.0,0.0,2127777.913011172,3424240.024425264,DEBIT,C2452906224,M4230169349,0
46.0,25972.48320826806,8578283.83128644,10471774.767096655,0.0,0.0,PAYMENT,C3962775762,M9300553874,0
166.0,142692.03218082938,0.0,0.0,89790.25065568824,0.0,TRANSFER,C3894099453,M6975160239,0
551.0,3815885.95325657,2151021.483754323,0.0,0.0,0.0,CASH_OUT,C7103882435,M7292992320,1
208.0,212386.53472673282,0.0,0.0,158950538.05390728,151651214.77848303,PAYMENT,C7688700371,M9125113044,0
516.0,906085.6204556082,368760.4753885581,0.0,6859.416293529292,924676.8486456492,TRANSFER,C278529813,M1330313744,1
236.0,94687.30852913913,0.0,0.0,0.0,0.0,TRANSFER,C9837214680,M1297129476,0
